type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,desc
T,14:09:36,52.3618186,4.949654639,-2,3.3,18.32,102,0.954,7.28,,,
T,14:09:47,52.36179161,4.949633768,-1.8,1.1,55.17,205.3,0.958,3.32,,,
T,14:09:58,52.36179035,4.949649777,-1.5,0.4,166.73,97.3,0.959,1.1,,,
T,14:10:05,52.36175783,4.949718509,-1.4,3,19.71,127.8,0.965,5.92,,,
T,14:10:14,52.36172757,4.949832,-1.5,3.4,17.79,113.6,0.973,8.43,,,
T,14:10:22,52.36173788,4.949863851,-2,1.1,54.32,62.1,0.976,2.45,,,
T,14:10:32,52.36171215,4.949828898,-1.5,1.3,44.75,219.7,0.979,3.72,,,
T,14:10:41,52.36169145,4.949822109,-1.5,0.9,63.84,191.3,0.982,2.35,,,
T,14:10:50,52.36170905,4.94984583,-1.8,1,59.07,39.5,0.984,2.54,,,
T,14:11:03,52.36169413,4.949880615,-1.3,0.8,74.88,125.1,0.987,2.89,,,
T,14:11:12,52.36167217,4.949871059,-1.3,1,59.32,194.9,0.99,2.53,,,
T,14:11:17,52.36167275,4.949893104,-1.7,1.1,55.44,87.5,0.991,1.5,,,
T,14:11:23,52.36166211,4.949949179,-1.4,2.4,25,107.3,0.995,4,,,
T,14:11:33,52.36164099,4.950035596,-1.8,2.3,26.29,111.8,1.002,6.34,,,
T,14:11:52,52.36163286,4.950005841,-1.4,0.4,142.66,245.9,1.004,2.22,,,
T,14:12:03,52.36164166,4.950009361,-1.9,0.3,181.83,13.7,1.005,1.01,,,
T,14:12:11,52.36163252,4.950037943,-1.9,1,60.7,117.6,1.007,2.2,,,
T,14:12:26,52.36162473,4.950059736,-2.7,0.4,145.4,120.4,1.009,1.72,,,
T,14:12:37,52.36162732,4.950041464,-1.9,0.4,143.46,283.1,1.01,1.28,,,
T,14:12:56,52.36162196,4.950035093,-1.9,0.1,429.09,215.9,1.011,0.74,,,
T,14:13:15,52.3616109,4.950045319,-1.6,0.3,223.86,150.6,1.012,1.41,,,
T,14:13:16,52.36160687,4.950056719,-1.7,3.2,18.59,120,1.013,0.9,,,
T,14:13:25,52.36156136,4.950149255,-1.9,3.2,18.55,128.8,1.021,8.09,,,
T,14:13:33,52.36154568,4.950284203,-1.6,4.2,14.25,100.8,1.03,9.36,,,
T,14:13:42,52.36151333,4.950419906,-1.8,4,15.12,111.3,1.04,9.92,,,
T,14:13:51,52.36150344,4.950523339,-2,2.9,21.03,98.9,1.048,7.13,,,
T,14:13:59,52.36148282,4.950607242,-1.4,2.8,21.65,111.9,1.054,6.16,,,
T,14:14:10,52.36147896,4.950760379,-1.9,3.4,17.56,92.4,1.064,10.44,,,
T,14:14:18,52.36150134,4.95085476,-1.9,3.1,19.34,68.8,1.071,6.89,,,
T,14:14:25,52.36149414,4.950894993,-1.9,1.5,40.85,106.4,1.074,2.86,,,
T,14:14:36,52.36147553,4.950945452,-1.3,1.3,45.69,121.1,1.078,4.01,,,
T,14:14:42,52.36144904,4.951008987,-1.4,3.1,19.1,124.3,1.083,5.24,,,
T,14:14:48,52.36142012,4.951015273,-1.4,1.9,30.81,172.4,1.086,3.25,,,
T,14:14:55,52.36139171,4.950989205,-1.8,1.9,32.17,209.3,1.09,3.63,,,
T,14:15:05,52.36134787,4.950942015,-1.6,2.1,28.53,213.3,1.096,5.84,,,
T,14:15:16,52.36134335,4.950933466,-1.5,0.3,238.1,229.1,1.097,0.77,,,
T,14:15:24,52.36133815,4.950951487,-1.7,0.6,98.25,115.3,1.098,1.36,,,
T,14:15:36,52.36133639,4.950950146,-1.5,0.1,925.39,205,1.098,0.22,,,
T,14:15:45,52.36134645,4.950923491,-1.3,0.9,70.32,301.7,1.1,2.13,,,
T,14:15:54,52.36133706,4.950926593,-1.1,0.4,140.74,168.6,1.101,1.07,,,
T,14:16:05,52.3612659,4.950890047,-1.6,2.7,22.09,197.4,1.11,8.3,,,
T,14:16:15,52.36119985,4.950835733,-1.4,3,20.25,206.7,1.118,8.23,,,
T,14:16:25,52.36112919,4.950791393,-1,3,19.79,201,1.126,8.42,,,
T,14:16:34,52.36106046,4.950744119,-2.2,3.3,18.08,202.8,1.135,8.3,,,
T,14:16:41,52.36101519,4.950751578,-1.5,2.6,23.05,174.3,1.14,5.06,,,
T,14:16:50,52.36094277,4.950767253,-1.9,3.3,18.45,172.5,1.148,8.13,,,
T,14:16:58,52.360909,4.950804971,-2.3,2,29.28,145.7,1.152,4.55,,,
T,14:17:08,52.36088754,4.950873703,-1.9,1.9,31.71,117.1,1.158,5.26,,,
T,14:17:19,52.36094101,4.951009322,-1.1,3.6,16.68,57.2,1.169,10.99,,,
T,14:17:26,52.36096281,4.951077215,-1.8,2.7,22.34,62.3,1.174,5.22,,,
T,14:17:34,52.36098887,4.951157765,-1.1,2.8,21.48,62.1,1.18,6.21,,,
T,14:17:44,52.36100757,4.951241501,-1.3,2.2,27.45,69.9,1.186,6.07,,,
T,14:17:51,52.36105258,4.951262372,-0.9,2.7,22.41,15.8,1.191,5.21,,,
T,14:17:53,52.36107085,4.951258935,-1,3.7,16.29,353.4,1.193,2.05,,,
T,14:18:01,52.36115324,4.951275028,-0.7,4.2,14.44,6.8,1.203,9.23,,,
T,14:18:11,52.36125894,4.951224737,-1,4.4,13.61,343.8,1.215,12.25,,,
T,14:18:20,52.3613348,4.951166147,-1,3.7,16.07,334.7,1.224,9.34,,,
T,14:18:27,52.3613265,4.951177714,-0.8,0.6,96.11,139.6,1.225,1.21,,,
T,14:18:34,52.3613016,4.951247117,-0.7,2.8,21.29,120.4,1.231,5.48,,,
T,14:18:38,52.3612861,4.951265138,-1.1,1.9,31.48,144.6,1.233,2.12,,,
