type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,desc
T,13:46:30,52.35926095,4.952588556,-7,1.3,44.97,298.6,0.163,0.37,,,
T,13:46:31,52.35926346,4.952593669,-6.5,1.6,37.3,51.2,0.164,0.45,,,
T,13:46:32,52.35926572,4.952597944,-6.5,1.4,43.29,49.1,0.164,0.39,,,
T,13:46:33,52.35926782,4.952596435,-7,0.9,65.4,336.3,0.164,0.25,,,
T,13:46:34,52.3592705,4.952593083,-7.2,1.4,44.35,322.6,0.165,0.38,,,
T,13:46:35,52.35927394,4.952591071,-7.6,1.5,41.03,340.3,0.165,0.41,,,
T,13:46:36,52.35927662,4.952590233,-6.6,1.1,54.85,349.2,0.166,0.3,,,
T,13:46:37,52.35927637,4.952590233,-6.8,0.1,595.78,180,0.166,0.03,,,
T,13:46:38,52.35927855,4.952586293,-6.6,1.3,46.08,312.2,0.166,0.36,,,
T,13:46:39,52.35927955,4.952583192,-6.7,0.9,69.71,298,0.166,0.24,,,
T,13:46:40,52.35927897,4.952581935,-7,0.4,154.74,232.6,0.166,0.11,,,
T,13:46:41,52.35928265,4.952584617,-6.7,1.6,37.1,23.9,0.167,0.45,,,
T,13:46:42,52.35928391,4.952586126,-7,0.6,96,36.2,0.167,0.17,,,
T,13:46:43,52.3592845,4.952586964,-6.4,0.3,192.16,41.1,0.167,0.09,,,
T,13:46:44,52.35928601,4.952587215,-6.6,0.6,98.77,5.8,0.167,0.17,,,
T,13:46:45,52.35928584,4.952585287,-6.2,0.5,125.64,261.9,0.167,0.13,,,
T,13:46:46,52.35928592,4.952582689,-6.4,0.6,94.02,273,0.167,0.18,,,
T,13:46:47,52.35928785,4.952580845,-7,0.9,67.04,329.7,0.168,0.25,,,
T,13:46:48,52.35928777,4.952581516,-6.8,0.2,357.48,101.6,0.168,0.05,,,
T,13:46:49,52.35928936,4.952586712,-6.9,1.4,42.1,63.4,0.168,0.4,,,
T,13:46:50,52.35928576,4.95259501,-7,2.5,24.05,125.4,0.169,0.69,,,
T,13:46:51,52.35928408,4.952600123,-6.5,1.4,42.18,118.2,0.169,0.4,,,
T,13:46:52,52.35928383,4.952598447,-7,0.4,141.74,256.2,0.169,0.12,,,
T,13:46:53,52.35928215,4.95259786,-6.7,0.7,87.37,192.1,0.17,0.19,,,
T,13:46:54,52.35928098,4.952595178,-6.8,0.8,74.21,234.4,0.17,0.22,,,
T,13:46:55,52.35927972,4.952590568,-7,1.2,48.48,245.9,0.17,0.34,,,
T,13:46:56,52.35927947,4.95258512,-6.7,1.3,44.78,265.7,0.171,0.37,,,
T,13:46:57,52.35927922,4.952578079,-6.4,1.7,34.69,266.7,0.171,0.48,,,
T,13:46:58,52.35928073,4.952579169,-6.9,0.7,90.8,23.8,0.171,0.18,,,
